*** PreOrder Traversal: 
(color: 5, upperR: 0, upperC: 0, NWkid's color: 5, NEkid's color: 5, SWkid's color: 5, SEkid's color: 5)-->
(color: 5, upperR: 32, upperC: 32, NWkid's color: 1, NEkid's color: 0, SWkid's color: 0, SEkid's color: 0)-->
(color: 1, upperR: 32, upperC: 32, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 32, upperC: 40, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 40, upperC: 32, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 40, upperC: 40, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 32, upperC: 48, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 48, upperC: 32, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 48, upperC: 48, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
------------ END ------------

*** PostOrder Traversal: 
(color: 0, upperR: 0, upperC: 0, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 0, upperC: 16, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 0, upperC: 24, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 8, upperC: 16, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 8, upperC: 20, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 1, upperR: 8, upperC: 22, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 10, upperC: 20, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 1, upperR: 10, upperC: 22, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 8, upperC: 20, NWkid's color: 0, NEkid's color: 1, SWkid's color: 0, SEkid's color: 1)-->
(color: 0, upperR: 12, upperC: 16, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 12, upperC: 20, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 1, upperR: 12, upperC: 22, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 14, upperC: 20, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 1, upperR: 14, upperC: 22, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 12, upperC: 20, NWkid's color: 0, NEkid's color: 1, SWkid's color: 0, SEkid's color: 1)-->
(color: 5, upperR: 8, upperC: 16, NWkid's color: 0, NEkid's color: 5, SWkid's color: 0, SEkid's color: 5)-->
(color: 1, upperR: 8, upperC: 24, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 0, upperC: 16, NWkid's color: 0, NEkid's color: 0, SWkid's color: 5, SEkid's color: 1)-->
(color: 0, upperR: 16, upperC: 0, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 1, upperR: 16, upperC: 4, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 20, upperC: 0, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 1, upperR: 20, upperC: 4, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 16, upperC: 0, NWkid's color: 0, NEkid's color: 1, SWkid's color: 0, SEkid's color: 1)-->
(color: 1, upperR: 16, upperC: 8, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 24, upperC: 0, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 24, upperC: 8, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 16, upperC: 0, NWkid's color: 5, NEkid's color: 1, SWkid's color: 0, SEkid's color: 0)-->
(color: 1, upperR: 16, upperC: 16, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 16, upperC: 20, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 1, upperR: 20, upperC: 16, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 20, upperC: 20, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 16, upperC: 16, NWkid's color: 1, NEkid's color: 0, SWkid's color: 1, SEkid's color: 0)-->
(color: 0, upperR: 16, upperC: 24, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 24, upperC: 16, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 1, upperR: 24, upperC: 24, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 16, upperC: 16, NWkid's color: 5, NEkid's color: 0, SWkid's color: 0, SEkid's color: 1)-->
(color: 5, upperR: 0, upperC: 0, NWkid's color: 0, NEkid's color: 5, SWkid's color: 5, SEkid's color: 5)-->
(color: 0, upperR: 0, upperC: 32, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 0, upperC: 48, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 1, upperR: 0, upperC: 56, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 1, upperR: 8, upperC: 48, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 8, upperC: 56, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 0, upperC: 48, NWkid's color: 0, NEkid's color: 1, SWkid's color: 1, SEkid's color: 0)-->
(color: 0, upperR: 16, upperC: 32, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 16, upperC: 40, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 1, upperR: 24, upperC: 32, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 24, upperC: 40, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 16, upperC: 32, NWkid's color: 0, NEkid's color: 0, SWkid's color: 1, SEkid's color: 0)-->
(color: 0, upperR: 16, upperC: 48, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 0, upperC: 32, NWkid's color: 0, NEkid's color: 5, SWkid's color: 5, SEkid's color: 0)-->
(color: 0, upperR: 32, upperC: 0, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 32, upperC: 16, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 1, upperR: 32, upperC: 24, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 40, upperC: 16, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 40, upperC: 24, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 32, upperC: 16, NWkid's color: 0, NEkid's color: 1, SWkid's color: 0, SEkid's color: 0)-->
(color: 0, upperR: 48, upperC: 0, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 48, upperC: 16, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 32, upperC: 0, NWkid's color: 0, NEkid's color: 5, SWkid's color: 0, SEkid's color: 0)-->
(color: 1, upperR: 32, upperC: 32, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 32, upperC: 40, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 40, upperC: 32, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 40, upperC: 40, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 32, upperC: 32, NWkid's color: 1, NEkid's color: 0, SWkid's color: 0, SEkid's color: 0)-->
(color: 0, upperR: 32, upperC: 48, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 48, upperC: 32, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 0, upperR: 48, upperC: 48, NWkid's color: NULL, NEkid's color: NULL, SWkid's color: NULL, SEkid's color: NULL)-->
(color: 5, upperR: 32, upperC: 32, NWkid's color: 5, NEkid's color: 0, SWkid's color: 0, SEkid's color: 0)-->
(color: 5, upperR: 0, upperC: 0, NWkid's color: 5, NEkid's color: 5, SWkid's color: 5, SEkid's color: 5)-->
------------ END ------------
